Date,Description,Amount
08/16,Walgreens Store 5100 D Louisville KY Card,-25.11
08/16,3901 S 7th St Louisville KY Card 7068,-300.00
08/19,Disneyplus 888-9057888 CA Card 1981,-8.23
08/20,Payment To Chase Card Ending IN 8647,-763.90
08/24,Kroger #7 4915A Dixie Louisville KY Card,-115.48
08/24,Kroger Fuel #878 4915 Louisville KY Card,-33.24
08/24,Goemerchant 800-9672289 SC Card 1981,-70.45
08/25,7403 3Rd Street Rd Louisville KY Card 7068,-200.00
08/26,Caresource KY 937-224-3300 OH Card,-979.93
08/29,Target 00024737 Louisville KY Card,22.26
08/29,Target T- 4174 Westpor Louisville KY Card,16.94
08/30,Kroger Fuel #878 4915 Louisville KY Card,-37.92
08/31,Kroger CO 220 Holiday Louisville KY Card,-726.10
09/05,9100 Niagara Falls B Niagara Falls NY,-123.50
09/06,Non-Chase ATM Fee-With,-3.00
09/06,Cigna 877 484 5967 877-484-5967 FL Card,-81.30
09/14,Zelle Payment To Gicu Nexus Jpum999G6R037,-1.00
09/14,Zelle Payment To Gicu Nexus Jom999G6Rp75,-399.00
09/14,Zelle Payment To Prospect RP Jpm999G75Nwg,-225.00
03/11/2024,then will go to,26.99
12/16,Pauls Fruit Mark 3704 Louisville KY Card,-58.75
12/17,The Home Depot #2302 Louisville KY Card,-20.90
12/19,Burlington Stores 734 Louisville KY Card,-70.38
12/19,Kroger #3 3039 Brecken Louisville KY Card,-93.50
12/20,Columbia 598 Simpsonville KY Card 1981,-122.00
12/20,Tnf Louisville Simpsonville KY Card 1981,-56.76
12/27,Zelle Payment From Giulio F Cantor 16118645565,100.00
12/26,Sams Membership 888-433-7267 AR Card,-50.00
01/02,320 Howard St Petoskey MI Card 7068,-200.00
01/05,Costco Whse #1238 Louisville KY Card 7068,-416.59
01/05,Cigna 877 484 5967 877-484-5967 FL Card,-81.30
01/06,Wal-Mart Super Center Louisville KY Card,-69.84
01/06,Walgreens #9412 Louisville KY Card 1981,-10.19
01/09,Sams Scan-N-Go Jeffersontown KY Card 7068,-116.91
01/09,Costco Whse #1238 Louisville KY Card 1981,-48.73
01/10,Target T- 3600 Mall Rd Louisville KY Card,-116.58
01/12,Dollar Tree 4060 Taylo Louisville KY Card,-2.58
01/12,Pauls Fru 3704 Taylors Louisville KY Card,-38.33
01/13,Costco Gas #1238 Louisville KY Card 1981,-36.12
01/15,Petsmart # 1117 Louisville KY Card 1981,-125.73
01/17,2943 Richland Ave Louisville KY Card 1981,-100.00
01/17,Petsmart # 1117 Louisville KY Card 1981,-55.10
01/17,Costco Whse #1238 Louisville KY Card 1981,-200.74
01/17,Petsmart # 1117 Louisville KY Card 1981,46.63
01/18,Kroger 502-634-0724 KY Card 1981,-81.41
01/18,Fenwick Animal Clinic Louisville KY Card,-21.05
01/18,Interest Payment,0.06
03/11/2024,then will go to,27.24
10/18,Payment Thank You-Mobile,-239.19
10/23,Payment Thank You-Mobile,-248.29
11/14,Payment Thank You-Mobile,-500.00
10/18,BOB EVANS REST #0379 LOUISVILLE KY,39.02
10/19,CHAU RESTAURANT LOUISVILLE KY,48.07
10/18,MEIJER # 164 877-363-4537 KY,100.15
10/22,BP#8793226KINGS HWY BP 2 SAINT LOUIS MO,45.04
10/23,MCALISTERS #1640 MT VERNON IL,10.24
10/26,BP#3743267SEYMOUR TRAVEL SEYMOUR IN,15.18
10/27,FIRST WATCH - 523 - ST MA LOUISVILLE KY,46.57
10/27,CHAU RESTAURANT LOUISVILLE KY,28.00
10/31,BP#9245358LAGRANGE LOUISVILLE KY,56.73
11/02,CHAU RESTAURANT LOUISVILLE KY,53.95
11/03,VIETNAM KITCHEN LOUISVILLE KY,35.00
11/04,WALGREENS #4216 LOUISVILLE KY,4.99
11/06,KROGER 785 LOUISVILLE KY,27.82
11/09,CHAU RESTAURANT LOUISVILLE KY,33.51
11/09,WALGREENS #4216 LOUISVILLE KY,31.48
11/10,VIETNAM KITCHEN LOUISVILLE KY,16.78
14/11,KING GYROS SAINT MATTHEW KY,16.87
14/11,DR STEVEN CARTER LOUISVILLE KY,82.00
11/14,TVC PRO-DRIVER 800-288-2889 OK,59.95
11/14,KROGER 752 LOUISVILLE KY,15.31
11/14,PAULS FRUIT MARKET TAYLOR LOUISVILLE KY,10.90
11/15,KROGER FUEL 8752 LOUISVILLE KY,53.95
11/16,WAL-MART #5417 LOUISVILLE KY,33.60
07/27/2023,then will go to,25.99
07/01,Payment To Chase Card Ending IN 0793,164.81
07/10,Payment To Chase Card Ending IN 0793,414.09
07/11,Payment To Chase Card Ending IN 0793,460.11
07/15,Payment To Chase Card Ending IN 0793,239.87
07/24,Payment To Chase Card Ending IN 0793,439.84
07/27,Payment To Chase Card Ending IN 0793,117.72
01/19,Kroger Fuel #834 3039 Louisville KY Card,-31.99
01/19,Kroger #3 3039 Brecken Louisville KY Card,-33.10
01/20,3901 S 7th St Louisville KY Card 7068,-100.00
01/23,Target T- 3600 Mall Rd Louisville KY Card,-152.67
01/23,Bryan G Harness Cosmet Louisville KY Card,-185.00
01/23,Pauls Fruit Mark 3704 Louisville KY Card,-44.18
01/23,Sunshine Pediatrics Louisville KY Card 1981,-35.00
01/23,Kroger #785 Louisville KY Card 1981,-68.69
01/24,Target T- 3600 Mall Rd Louisville KY Card,-138.21
01/25,Fenwick Animal Clinic Louisville KY Card,-63.25
01/25,Costco Whse #1238 Louisville KY Card 1981,-36.09
01/25,Costco Gas #1238 Louisville KY Card 1981,-33.89
01/27,Kroger #346 3039 Breck Louisville KY Card,-36.15
01/80,Costco Gas #1238 Louisville KY Card 1981,-30.67
01/31,Mirage Louisville KY Card 1981,-37.53
02/01,Target T- 3600 Mall Rd Louisville KY Card,-109.30
02/01,Target T- 3600 Mall Rd Louisville KY Card,-50.67
02/01,Toyota Oxmoor Toyota Louisville KY Card 1981,-162.95
02/02,First Watch - 523 - S 502-618-1955 KY Card,-31.75
02/03,Kroger Fuel #878 4915 Louisville KY Card,-39.39
02/03,First Watch - 570 - 502-444-7744 KY Card,-26.88
02/06,Cigna 877 484 5967 877-484-5967 FL Card,-81.30
02/07,Kroger Fuel #878 4915 Louisville KY Card,-35.82
02/07,3901 S 7th St Louisville KY Card 7068,-200.00
02/07,Kroger #7 4915A Dixie Louisville KY Card,-117.91
02/08,Petsmart # 1117 Louisville KY Card 1981,-228.17
02/08,Pauls Fruit Mark 3704 Louisville KY Card,-70.25
02/08,Best Buy #333 Louisvile KY Card 1981,-76.19
02/08,Igms 877-7352559 CO Card 1981,-68.17
02/09,Costco Whse #1238 Louisville KY Card 1981,-373.18
02/10,Target T- 3600 Mall Rd Louisville KY Card,-80.96
02/11,Wal-Mart #2691 New Albany IN Card 1981,-165.93
02/12,Thorntons #0161 #0161 Louisville KY Card,-35.98
02/13,Wal-Mart Super Center Louisville KY Card,-58.48
02/14,Buff City Soap - 4600 Louisville KY Card,-79.36
02/14,Kroger #7 4915A Dixie Louisville KY Card,-54.36
02/15,Interest Payment,0.05
03/11/2024,then will go to,26.99
12/15,Remote Online Deposit 1,569.99
12/06,__Zelle Payment To Alin Eremia Jom99A63S300,39.00
01/09,Payment To Chase Card Ending IN 0793 ,669.32
01/12,Zelle Payment To Gicu Nexus Jpm999KS8Cos ,500.00
01/21,Payment To Chase Card Ending IN 0793,274.49
01/25,Payment To Chase Card Ending IN 0793,173.53
02/26,Payment Thank You-Mobile,-59.95
03/03,AUTOZONE #3585 LOUISVILLE KY,-63.59
03/03,THE HOME DEPOT 2307 LOUISVILLE KY,528.94
03/03,AUTOZONE #0610 LOUISVILLE KY,63.59
03/03,AUTOZONE #3585 LOUISVILLE KY,199.17
03/06,AUTHENTIC CARIBBEAN KITC LOUISVILLE KY,41.45
03/07,MUTHS CANDIES INC LOUISVILLE KY,19.03
03/07,HONG KONG RESTAURANT LOUISVILLE KY,9.59
03/06,MENARDS 3373 LOUISVILLE KY,82.87
03/08,CHAU RESTAURANT LOUISVILLE KY,32.98
03/09,HONG KONG RESTAURANT LOUISVILLE KY,14.93
03/08,SPINELLIS PIZZERIA LOUISVILLE KY,10.36
03/13,MARATHON PETRO165373 FLORENCE KY,2.11
03/13,HONG KONG RESTAURANT LOUISVILLE KY,15.93
03/13,TA #93 FLORENCE FASTFO FLORENCE KY,13.23
03/13,KENWORTH OF LOUISVILLE LOUISVILLE KY,105.22
03/14,TVC PRO-DRIVER 800-288-2889 OK,59.95
03/14,VIETNAM KITCHEN LOUISVILLE KY,37.39
10/11,AUTOMATIC PAYMENT - THANK YOU,-100.00
10/17,PURCHASE INTEREST CHARGE,54.93
01/21,Payment Thank You-Mobile,-274.49
01/25,Payment Thank You-Mobile,-173.53
02/11,Payment Thank You-Mobile,-216.99
02/06,CITYOFSTLOUIS-PARKING 314-622-4700 MO,2.45
02/14,TVC PRO-DRIVER 800-288-2889 OK,59.95
01/21,Payment Thank You-Mobile,-274.49
01/25,Payment Thank You-Mobile,-173.53
02/11,Payment Thank You-Mobile,-216.99
02/06,CITYOFSTLOUIS-PARKING 314-622-4700 MO,2.45
02/14,TVC PRO-DRIVER 800-288-2889 OK,59.95
07/27/2023,then will go to,26.49
07/27/2023,then will go to,25.99
02/11,Payment To Chase Card Ending IN 0793 ,216.99
02/26,Payment To Chase Card Ending IN 0793,59.95
08/05,Payment To Chase Card Ending IN 0793,294.39
08/08,Payment To Chase Card Ending IN 0793,234.04
08/15,Payment To Chase Card Ending IN 0793,191.39
08/20,Payment To Chase Card Ending IN 0793,263.16
08/29,Payment To Chase Card Ending IN 0793,278.42
06/13,Sams Club#8111 Jeffersontown KY Card,13.76
06/20,Petsmart # 1168 Louisville KY Card 6815,-65.21
06/20,3920 Summit Plaza DR Louisville KY Card,-100.00
06/20,Costco Gas #1238 Louisville KY Card 6815,-41.56
06/21,2943 Richland Ave Louisville KY Card 6815,-160.00
06/21,Costco Whse #1238 Louisville KY Card 6815,-58.07
06/21,Kroger #346 3039 Breck Louisville KY Card,-49.81
06/22,Pauls Fruit Mark 3704 Louisville KY Card,-83.65
07/03,Costco Gas #1238 Louisville KY Card 6815,-31.94
07/06,Netflix 1 8445052993 CA Card 6815,-16.33
07/06,Kroger #7 4915A Dixie Louisville KY Card,-53.68
07/07,Withdrawal,-100.00
07/07,Withdrawal,-40.00
07/18,Interest Payment,0.02
07/27/2023,then will go to,26.24
04/18,Costco Whse #1238 Louisville KY Card 7068,-43.41
04/18,Zelle Payment To Juan Constructor 14144051526,-150.00
04/19,Kroger Fuel #838 296 Saint Matthew KY,-40.17
04/19,Disneyplus 888-9057888 CA Card 1981,-8.23
04/21,Aeroflow Inc 828-2771400 NC Card 1981,-132.09
04/22,Kroger #7 4915A Dixie Louisville KY Card,-97.62
04/25,Zelle Payment To Teaira 14180475820,-120.00
04/25,Kroger Fuel #878 4915 Louisville KY Card,-46.12
04/25,Pauls Fru 3704 Taylors Louisville KY Card,-41.85
04/26,1481 S 7th St Louisville KY Card 7068,-200.00
04/27,Target T- 3600 Mall Rd Louisville KY Card,-77.33
04/28,Target T- 4101 Towne C Louisville KY Card,-30.73
04/29,Kroger Fuel #878 4915 Louisville KY Card,-42.43
04/29,Check #355,-165.00
05/02,Check # 353,-363.46
05/03,Wal-Mart #5418 Louisville KY Card 1981,-86.86
05/03,Pauls Fru 3704 Taylors Louisville KY Card,-33.79
05/05,Pediatric Dentistry O 502-633-4441 KY Card,-10.00
05/06,Ollies Bargain Outlet Louisville KY Card,-52.00
05/06,Roses Espress Store #6 Louisville KY Card,-84.21
05/06,Wm Supere Wal-Mart Sup Louisville KY,-79.92
05/06,Wal-Mart Wal-Mart Sup Louisville KY Card,-46.83
05/06,Target T- 7311 Jeffers Louisville KY Card,-158.99
05/06,Target T- 7311 Jeffers Louisville KY Card,-200.72
05/07,Kentucky Science Center Louisville KY Card,-47.00
05/09,Zelle Payment To Joey Jom999Bnybpg,-193.00
05/10,Check #352,-202.50
05/10,Wal-Mart Super Center Louisville KY Card,-85.69
05/11,The Home Depot #2302 Louisville KY Card,-202.20
05/11,7335 Dixie Hwy Louisville KY Card 7068,-760.00
05/16,Interest Payment,0.30
06/02,Payment To Chase Card Ending IN 0793,316.34
06/08,Payment To Chase Card Ending IN 0793,678.55
06/15,Payment To Chase Card Ending IN 0793,46.51
06/20,Payment To Chase Card Ending IN 0793,147.87
12/16,Pauls Fruit Mark 3704 Louisville KY Card,-58.75
12/17,The Home Depot #2302 Louisville KY Card,-20.90
12/19,Burlington Stores 734 Louisville KY Card,-70.38
12/19,Kroger #3 3039 Brecken Louisville KY Card,-93.50
12/20,Columbia 598 Simpsonville KY Card 1981,-122.00
12/20,Tnf Louisville Simpsonville KY Card 1981,-56.76
12/27,Zelle Payment From Giulio F Cantor 16118645565,100.00
12/26,Sams Membership 888-433-7267 AR Card,-50.00
01/02,320 Howard St Petoskey MI Card 7068,-200.00
01/05,Costco Whse #1238 Louisville KY Card 7068,-416.59
01/05,Cigna 877 484 5967 877-484-5967 FL Card,-81.30
01/06,Wal-Mart Super Center Louisville KY Card,-69.84
01/06,Walgreens #9412 Louisville KY Card 1981,-10.19
01/09,Sams Scan-N-Go Jeffersontown KY Card 7068,-116.91
01/09,Costco Whse #1238 Louisville KY Card 1981,-48.73
01/10,Target T- 3600 Mall Rd Louisville KY Card,-116.58
01/12,Dollar Tree 4060 Taylo Louisville KY Card,-2.58
01/12,Pauls Fru 3704 Taylors Louisville KY Card,-38.33
01/13,Costco Gas #1238 Louisville KY Card 1981,-36.12
01/15,Petsmart # 1117 Louisville KY Card 1981,-125.73
01/17,2943 Richland Ave Louisville KY Card 1981,-100.00
01/17,Petsmart # 1117 Louisville KY Card 1981,-55.10
01/17,Costco Whse #1238 Louisville KY Card 1981,-200.74
01/17,Petsmart # 1117 Louisville KY Card 1981,46.63
01/18,Kroger 502-634-0724 KY Card 1981,-81.41
01/18,Fenwick Animal Clinic Louisville KY Card,-21.05
01/18,Interest Payment,0.06
11/17,Buff City Soap - 4600 Louisville KY Card,-89.89
11/17,Kroger Fuel #878 4915 Louisville KY Card,-40.85
11/18,Big Lots 6650 Dixie H Louisville KY Card,-18.01
11/19,Payment To Chase Card Ending IN 8647,-500.00
11/20,The Home Depot #2302 Louisville KY Card,-40.84
11/20,Kroger #7 4915A Dixie Louisville KY Card,-35.98
11/21,Costco Whse #1238 Louisville KY Card 1981,-75.89
11/22,Pauls Fruit Mark 3704 Louisville KY Card,-46.20
11/22,Kroger #7 4915A Dixie Louisville KY Card,-55.60
11/22,Kroger Fuel #878 4915 Louisville KY Card,-42.39
11/23,Dollar Tr 4060 Taylors Louisville KY Card,-10.60
11/23,Sunshine Pediatrics Louisville KY Card 1981,-75.00
11/23,Sams Scan-N-Go Jeffersontown KY Card 7068,-73.42
11/23,Kroger #785 Louisville KY Card 1981,-15.75
11/26,Caresource KY 987-224-3300 OH Card,-979.93
11/26,Payment To Chase Card Ending IN 8647,-500.00
11/29,2943 Richland Ave Louisville KY Card 1981,-60.00
11/29,Burlington Stores 734 Louisville KY Card,-74.16
11/29,7403 3Rd Street Rd Louisville KY Card 7068,-300.00
11/29,Gap Online 800-4277895 OH Card 1981,-7.39
11/30,Pauls Fru 3704 Taylors Louisville KY Card,-82.59
12/01,Kroger Fuel #834 3039 Louisville KY Card,-43.08
12/02,Costco Whse #1238 Louisville KY Card 1981,-147.62
12/03,The Home Depot #2302 Louisville KY Card,-112.10
12/05,Target T- 4174 Westpor Louisville KY Card,-131.60
12/05,Cigna 877 484 5967 877-484-5967 FL Card,-81.30
12/05,Hometown Hauling 502-3614446 KY Card 1981,-93.50
12/06,3600 Bardstown Rd Louisville KY Card 1981,-200.00
12/06,Costco Whse #1238 Louisville KY Card 1981,-68.88
12/06,Costco Gas #1238 Louisville KY Card 1981,-30.99
12/07,Pauls Fru 3704 Taylors Louisville KY Card,-33.29
12/09,Kroger #3 3039 Brecken Louisville KY Card,-64.63
12/06,Samsclub #8111 Louisville KY Card 7068,11.64
12/11,4111 Shelbyville Rd Louisville KY Card 7068,-200.00
12/12,Petsmart # 1117 Louisville KY Card 1981,-41.24
12/13,Zelle Payment From Giulio F Cantor 16024485168,500.00
12/13,Payment To Chase Card Ending IN 8647,-500.00
12/14,Target T- 3600 Mall Rd Louisville KY Card,-17.39
12/14,Norton Healthcare Myc 502-629-8276 KY Card,-13.40
12/15,Kroger Fuel #834 3039 Louisville KY Card,-31.02
12/15,Interest Payment,0.05
08/20,Payment Thank You-Mobile,-263.16
08/29,Payment Thank You-Mobile,-278.42
09/15,Payment Thank You-Mobile,-483.20
08/18,T-MOBILE STORE # 372D LOUISVILLE KY,35.00
08/19,THOMAS CAR WASH - BARDST LOUISVILLE KY,15.00
08/19,JEFFERSON COUNTY CLERKS LOUISVILLE KY,11.00
08/22,SPEEDWAY 09686 LOUISVILLE LOUISVILLE KY,48.97
08/24,Mirage Louisville KY,61.66
08/26,VIETNAM KITCHEN LOUISVILLE KY,33.21
09/03,IL TOLLWAY-WEB 800-824-7277 IL,50.00
09/06,WAVES RESTAURANT BUFFALO NY,38.50
09/13,THORNTONS #0060 LOUISVILLE KY,42.70
09/13,PMR TECH SYSTEMS LLC 608-4210957 WI,24.99
09/14,TVC PRO-DRIVER 800-288-2889 OK,59.95
12/13,Payment To Chase Card Ending IN 0793,500.00
12/23,u2014 Zelle Payment To Giulio 16107102112,100.00
03/11/2024,then will go to,27.24
10/18,Sams Scan-N-Go Jeffersontown KY Card 6815,-136.60
10/20,Petsmart # 1117 Louisville KY Card 6815,-56.38
10/22,Costco Whse #1238 Louisville KY Card 6815,-86.82
10/22,Pauls Fruit Mark 3704 Louisville KY Card,-89.06
10/22,Pauls Fru 3704 Taylors Louisville KY Card,-1.40
10/23,Kroger #7 4915A Dixie Louisville KY Card,-118.59
10/23,Dollar Tr 6801 Dixie H Louisville KY Card,-6.63
10/24,3901 S 7th St Louisville KY Card 7068,-160.00
10/24,Norton Healthcare Myc 502-629-8276 KY Card,-11.00
10/25,Kroger #7 4915A Dixie Louisville KY Card,-108.56
10/25,Kroger #7 4915A Dixie Louisville KY Card,-21.18
10/25,The Spice And Tea Exch 812-9130111 IN Card,-14.08
10/27,Wholefds Lou 101 4944 Louisville KY Card,-97.05
10/28,Bravo-Louisville Louisville KY Card 7068,-124.32
10/80,Kroger Fuel #878 4915 Louisville KY Card,-32.47
11/01,Target T- 7311 Jeffers Louisville KY Card,-122.35
11/02,Visible 866-331-3527 CO Card 7068,-25.00
11/02,Visible 866-331-3527 CO Card 7068,-35.00
11/02,Netflix 1 8445052993 CA Card 6815,-16.33
11/02,Sp Hiya Health Hitpshiyaheal FL Card 6815,-31.80
11/02,Costco Whse #1238 Louisville KY Card 6815,-213.99
11/03,Usps PO 20480900 3131 Louisville KY Card,-19.89
11/03,Pauls Fruit Mark 3704 Louisville KY Card,-72.25
11/03,Wholefds Lou 101 4944 Louisville KY Card,-18.56
11/07,Costco Gas #1238 Louisville KY Card 6815,-30.68
11/07,Kroger #7 4915A Dixie Louisville KY Card,-131.35
11/07,Sams Scan-N-Go Jeffersontown KY Card 6815,-59.17
11/09,Tmobile Auto Pay Bellevue WA Card 7068,-214.54
11/10,Usps PO 20480900 3131 Louisville KY Card,-9.65
11/11,Costco Whse #1238 Louisville KY Card 6815,-10.58
11/11,Costco Whse #1238 Louisville KY Card 6815,-200.60
11/11,Pauls Fruit Mark 3704 Louisville KY Card,-92.91
11/12,Wholefds Lou 101 4944 Louisville KY Card,-111.44
11/12,Wholefds Lou 101 4944 Louisville KY Card,-20.12
11/12,Kroger Fuel #878 4915 Louisville KY Card,-30.98
11/13,Wholefds Lou 101 4944 Louisville KY Card,-49.81
11/13,Sunshine Pediatrics Louisville KY Card 6815,-246.00
41/15,Withdrawal,-100.00
14/15,Monthly Service Fee,-12.00
11/15,Interest Payment,0.01
10/10,Zelle Payment To Juan Constructor 18681740607,300.00
03/11/2024,then will go to,27.24
11/08,COSTCO WHSE #1238 LOUISVILLE KY,1.59
11/08,CHICK-FIL-A #04264 812-288-2020 IN,19.29
10/23,-0- -0-  Purchases,27.49
10/23,-0- -0-  Cash Advances,28.74
10/23,-0- -0-  Balance Transfers,27.49
05/26,Payment Thank You-Mobile,-106.74
05/30,Payment Thank You-Mobile,-92.19
06/02,Payment Thank You-Mobile,-316.34
06/08,Payment Thank You-Mobile,-678.55
06/13,Payment Thank You-Mobile,-758.16
06/15,Payment Thank You-Mobile,-46.51
05/22,THORNTONS #0098 LOUISVILLE KY,46.79
05/27,WHOLEFDS LOU 10186 LOUISVILLE KY,36.21
05/30,ZIPS 225 KYLOU - CANERUN LOUISVILLE KY,10.00
05/30,KROGER 292 LOUISVILLE KY,55.38
05/30,WALGREENS #11664 LOUISVILLE KY,21.00
05/31,Subway 53308 Bellville OH,8.84
06/02,BOB EVANS REST #0379 LOUISVILLE KY,29.04
06/03,PRIDE TRUCK WASH SHEPHERDSVILL KY,70.00
06/03,PRIDE TRUCK WASH SHEPHERDSVILL KY,42.00
06/02,MEIJER # 164 877-363-4537 KY,77.35
06/04,COSTCO WHSE #1238 LOUISVILLE KY,62.09
06/04,COSTCO WHSE #1238 LOUISVILLE KY,278.82
06/06,BOB EVANS REST #0379 LOUISVILLE KY,30.82
06/09,Columbia 598 Simpsonville KY,177.00
06/09,SQ  u201cBOOK WAREHOUSE OF LOU Simpsonville KY,10.60
06/09,Crocs Simpsonville KY,71.49
06/10,COSTCO WHSE #1238 LOUISVILLE KY,240.66
06/11,KROGER #785 LOUISVILLE KY,57.98
06/09,JADE GARDEN SIMPSONVILLE SIMPSONVILLE KY,27.31
06/11,AUTOZONE #3585 LOUISVILLE KY,34.95
06/14,TVC PRO-DRIVER 800-288-2889 OK,59.95
06/15,BOB EVANS REST #0379 LOUISVILLE KY,29.95
03/11/2024,then will go to,26.99
12/11,AUTOMATIC PAYMENT - THANK YOU,-100.00
12/17,PURCHASE INTEREST CHARGE,53.27
07/27/2023,then will go to,25.99
07/23,3901 S 7th St Louisville KY Card 7068,-200.00
07/28,Wholefds Lou 101 4944 Louisville KY Card,-169.55
07/29,Kroger 866-576-4377 KY Card 6815,-188.75
08/06,The Home Depot #2302 Louisville KY Card,-236.32
08/08,Kroger #785 4915A Dixi Louisville KY Card,-3.99
08/08,3901 S 7th St Louisville KY Card 7068,-100.00
08/08,Check #358,-36.00
08/10,Zelle Payment To Carmen Traduceri Jom99A0loxg7,-1.00
08/10,Zelle Payment To Carmen Traduceri Jpm99A0lplpp,-190.00
08/11,The Home Depot #2302 Louisville KY Card,-68.22
08/15,Monthly Service Fee,-12.00
08/15,Interest Payment,0.01
03/11/2024,then will go to,26.74
04/18,Wholefds Lou 101 4944 Louisville KY Card,-98.38
04/18,Kroger Fuel #878 4915 Louisville KY Card,-43.48
04/18,Kroger #7 4915A Dixie Louisville KY Card,-16.95
04/20,Kroger #3 3039 Brecken Louisville KY Card,-31.47
04/21,Fenwick Animal Clinic Louisville KY Card,-88.80
04/24,Pauls Fruit Mark 3704 Louisville KY Card,-50.77
04/24,Aldi 44036 Louisville Louisville KY Card 6815,-19.63
04/24,Art Jacob Prescription Louisville KY Card 6815,-38.69
04/25,Pauls Fru 3704 Taylors Louisville KY Card,-6.43
04/27,Wholefds Lou 101 4944 Louisville KY Card,-63.14
04/27,Costco Whse #1238 Louisville KY Card 6815,-133.97
04/27,Costco Gas #1238 Louisville KY Card 6815,-34.52
04/30,Sams Scan-N-Go Jeffersontown KY Card 7068,-157.30
04/30,Pauls Fruit Mark 12119 Louisville KY Card,-80.14
05/02,Kroger 502-634-0724 KY Card 6815,-98.47
05/02,Costco Whse #1238 Louisville KY Card 6815,-36.78
05/03,Costco Gas #1238 Louisville KY Card 6815,-34.88
04/30,Samsclub #8111 Louisville KY Card 7068,15.88
05/04,Costco Whse #1238 Louisville KY Card 6815,-26.36
05/04,Costco Whse #1238 Louisville KY Card 7068,44.51
05/05,Sams Scan-N-Go Jeffersontown KY Card 7068,-38.93
05/06,Kroger #3 3039 Brecken Louisville KY Card,-110.62
05/08,Costco Gas #1238 Louisville KY Card 6815,-34.70
05/08,Pauls Fruit Mark 3704 Louisville KY Card,-91.34
05/08,Kroger #3 3039 Brecken Louisville KY Card,-66.95
05/10,Petsmart # 1117 Louisville KY Card 6815,-122.33
05/10,Toyota Oxmoor Toyota Louisville KY Card 6815,-186.92
05/10,Bryan G Harness Cosmeti Louisville KY Card,-66.74
05/11,Costco Whse #1238 Louisville KY Card 6815,-29.77
05/11,Costco Gas #1238 Louisville KY Card 6815,-33.68
05/11,Petsmart # 1117 Louisville KY Card 6815,10.59
05/12,Pauls Fru 3704 Taylors Louisville KY Card,-24.32
05/15,Interest Payment,0.05
03/11/2024,then will go to,27.24
10/05,Payment To Chase Card Ending IN 0793,689.99
10/13,Zelle Payment To Juan Constructor 15527593568,300.00
10/18,Payment To Chase Card Ending IN 0793,239.19
10/20,Zelle Payment To Juan Constructor 15587340322,380.00
10/23,Payment To Chase Card Ending IN 0793,248.29
10/31,Zelle Payment To Vitalie 15673520360,82.00
03/11/2024,then will go to,27.24
03/17,Pauls Fru 3704 Taylors Louisville KY Card,-35.03
03/21,Pauls Fruit Mark 3704 Louisville KY Card,-60.37
03/21,Costco Whse #1238 Louisville KY Card 1981,-158.36
03/21,Costco Gas #1238 Louisville KY Card 1981,-30.72
03/21,Check #301,-20.00
04/03,Wm Supere Wal-Mart Sup Louisville KY,-35.93
04/11,Zelle Payment To Magdiel Jpm999V78F46,-200.00
04/11,Target T- 3600 Mall Rd Louisville KY Card,-75.83
04/11,Costco Whse #1238 Louisville KY Card 6815,-3.18
04/11,Costco Whse #1238 Louisville KY Card 6815,-216.47
04/12,Zelle Payment From Ricardo Fernandez PncaaOEsq05A,200.00
04/12,Pauls Fruit Mark 3704 Louisville KY Card,-72.86
04/12,4111 Shelbyville Rd Louisville KY Card 7068,-100.00
04/12,Costco Gas #1238 Louisville KY Card 6815,-29.53
04/12,Daytona Apparel Holdin 212-2680762 NY Card,-72.00
04/12,Sams Scan-N-Go Jeffersontown KY Card 7068,-147.25
04/13,Dicks Sporting Goods # Louisville KY Card,-63.53
04/13,Hometown Hauling 502-3614446 KY Card 6815,-135.00
04/14,Target T- 3600 Mall Rd Louisville KY Card,-126.14
04/12,Samsclub #8111 Louisville KY Card 7068,27.52
04/17,Costco Whse #1238 Louisville KY Card 6815,-48.94
04/17,Kroger #3 3039 Brecken Louisville KY Card,-167.08
04/17,Pauls Fruit Mark 3704 Louisville KY Card,-46.93
04/17,Monthly Service Fee,-12.00
04/17,Interest Payment,0.02
11/17,Kroger #7 4915A Dixie Louisville KY Card,-164.70
11/18,Usps PO 20480900 3131 Louisville KY Card,-9.65
11/18,Wal-Mart Super Center Louisville KY Card,-134.43
11/19,Sams Scan-N-Go Jeffersontown KY Card 6815,-121.91
11/19,Pauls Fruit Mark 3704 Louisville KY Card,-84.15
11/19,Costco Whse #1238 Louisville KY Card 6815,-29.67
11/19,Costco Whse #1238 Louisville KY Card 7068,-29.96
11/20,Buff City Soap - 4600 Louisville KY Card,-44.52
11/20,Kroger Fuel #878 4915 Louisville KY Card,-37.96
11/22,7335 Dixie Hwy Louisville KY Card 6815,-160.00
11/22,Pilot #0004 Avon OH Card 7068,-13.50
11/23,Kroger #7 4915A Dixie Louisville KY Card,-17.81
11/25,Usps PO 20480900 3131 Louisville KY Card,-9.65
11/25,Dollartre 4856 Cane Ru Louisville KY Card,-62.28
11/26,Costco Whse #1238 Louisville KY Card 6815,-205.73
11/26,Pauls Fruit Mark 3704 Louisville KY Card,-72.80
11/29,Subway 430 Cridersville OH Card 7068,-22.98
11/29,Kroger #7 4915A Dixie Louisville KY Card,-177.75
11/30,Visible 866-331-3527 CO Card 7068,-25.00
11/30,Visible 866-331-3527 CO Card 7068,-35.00
